일자,중식계,석식계
2021-01-27,1094.4375,217.12686
2021-01-28,1050.659,448.2368
2021-01-29,697.4613,318.44052
2021-02-01,1358.0463,624.3619
2021-02-02,997.43365,546.7752
2021-02-03,1001.03296,493.5176
2021-02-04,979.05365,507.9268
2021-02-05,710.2952,393.78094
2021-02-08,1355.1733,679.8953
2021-02-09,1094.7499,592.4824
2021-02-10,761.5722,119.74602
2021-02-15,1395.8324,755.50995
2021-02-16,1198.562,665.77734
2021-02-17,1129.092,398.42084
2021-02-18,997.4363,547.7014
2021-02-19,732.23474,413.04733
2021-02-22,1302.4109,688.56775
2021-02-23,1108.5001,642.8237
2021-02-24,876.024,301.46643
2021-02-25,866.6386,428.56912
2021-02-26,666.00336,227.31271
2021-03-02,1226.2607,697.8895
2021-03-03,1083.9829,479.42105
2021-03-04,1060.9589,553.3889
2021-03-05,790.11365,404.29813
2021-03-08,1460.5614,818.9788
2021-03-09,1307.8004,738.0157
2021-03-10,1007.73553,437.17883
2021-03-11,1065.0653,551.9948
2021-03-12,832.28595,381.08893
2021-03-15,1383.7144,687.5326
2021-03-16,1199.0187,619.55554
2021-03-17,1154.6815,433.31073
2021-03-18,1073.5918,499.13068
2021-03-19,724.0693,342.0743
2021-03-22,1392.7854,692.178
2021-03-23,1121.0884,629.0179
2021-03-24,957.4054,428.46405
2021-03-25,933.49945,464.52783
2021-03-26,656.76447,303.1422
2021-03-29,1334.7421,667.1533
2021-03-30,1079.5405,716.30743
2021-03-31,1078.4767,414.71802
2021-04-01,935.6774,476.97278
2021-04-02,708.30035,346.22852
2021-04-05,1346.4854,632.23126
2021-04-06,1157.0953,638.81244
2021-04-07,1044.1443,448.8903
2021-04-08,919.244,470.44373
2021-04-09,703.1066,328.34705
