일자,중식계,석식계
2021-01-27,1094.4375,420.32047
2021-01-28,1050.659,465.2054
2021-01-29,697.4613,289.03632
2021-02-01,1358.0463,615.863
2021-02-02,997.43365,487.57983
2021-02-03,1001.03296,412.635
2021-02-04,979.05365,483.79077
2021-02-05,710.2952,375.33484
2021-02-08,1355.1733,657.3307
2021-02-09,1094.7499,540.8735
2021-02-10,761.5722,169.22415
2021-02-15,1395.8324,731.1503
2021-02-16,1198.562,657.51086
2021-02-17,1129.092,423.37634
2021-02-18,997.4363,539.846
2021-02-19,732.23474,359.7882
2021-02-22,1302.4109,687.92883
2021-02-23,1108.5001,654.961
2021-02-24,876.024,333.62286
2021-02-25,866.6386,520.6112
2021-02-26,666.00336,265.1446
2021-03-02,1226.2607,723.1877
2021-03-03,1083.9829,459.16382
2021-03-04,1060.9589,574.4039
2021-03-05,790.11365,393.14655
2021-03-08,1460.5614,820.80524
2021-03-09,1307.8004,819.9409
2021-03-10,1007.73553,448.74908
2021-03-11,1065.0653,544.28784
2021-03-12,832.28595,328.5177
2021-03-15,1383.7144,813.6425
2021-03-16,1199.0187,627.0127
2021-03-17,1154.6815,459.37976
2021-03-18,1073.5918,506.36298
2021-03-19,724.0693,353.0071
2021-03-22,1392.7854,711.77344
2021-03-23,1121.0884,627.488
2021-03-24,957.4054,409.77463
2021-03-25,933.49945,494.01654
2021-03-26,656.76447,254.72385
2021-03-29,1334.7421,683.55786
2021-03-30,1079.5405,622.5112
2021-03-31,1078.4767,439.84018
2021-04-01,935.6774,475.7991
2021-04-02,708.30035,270.5408
2021-04-05,1346.4854,651.6449
2021-04-06,1157.0953,620.2142
2021-04-07,1044.1443,406.66086
2021-04-08,919.244,488.1707
2021-04-09,703.1066,282.04013
